"id","utrProfileId","singlesRating","doublesRating","playerId","createdAt","updatedAt"
1,1860384,"11.02","11.07",1,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
2,1016727,"11.02","11.39",2,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
3,116884,"11.02","11.23",3,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
4,847444,"11.02","10.8",4,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
5,1239433,"11.02","11.4",5,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
6,276221,"11.02","11.55",6,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
7,1784606,"11.02","10.72",7,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
8,211703,"11.02","11.56",8,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
9,281423,"11.02","10.32",9,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
10,375293,"11.02","11.13",10,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
11,277033,"11.02","10.82",11,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
12,1744762,"11.02","11.61",12,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
13,404535,"11.01","10.88",13,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
14,278085,"11.01","11.04",14,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
15,1706982,"11.01","10.22",15,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
16,1964605,"11.01","11.19",16,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
17,271510,"11.01","10.72",17,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
18,293680,"11.01","10.54",18,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
19,1550526,"11.01","10.19",19,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
20,1947616,"11.01","10.74",20,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
21,1895888,"11.01","10.72",21,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
22,128214,"11.01","10.76",22,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
23,1041822,"11.01","9.74",23,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
24,120497,"11.01","10.69",24,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
25,311156,"11.01","9.88",25,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
26,279097,"11.01","11.21",26,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
27,187066,"11.01","11.2",27,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
28,1547250,"11.01","10.42",28,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
29,1618861,"11.01","10.58",29,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
30,1190420,"11.01","11.23",30,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
31,223114,"11.01","10.75",31,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
32,241928,"11.01","11.01",32,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
33,278824,"11.01","11.15",33,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
34,279489,"11.01","10.8",34,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
35,131087,"11.01","10.97",35,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
36,286856,"11.01","11.03",36,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
37,1784603,"11.01","11.27",37,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
38,1963022,"11.01","10.57",38,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
39,974686,"11.01","10.67",39,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
40,261362,"11","10.87",40,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
41,1240231,"11","9.35",41,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
42,1611045,"11","11.65",42,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
43,303932,"11","11.22",43,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
44,1813267,"11","11",44,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
45,280281,"11","11.17",45,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
46,2058660,"11","11.51",46,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
47,1041379,"11","10.9",47,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
48,286167,"11","10.78",48,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
49,606006,"11","11.18",49,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
50,1963165,"11","11.45",50,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
51,240365,"11","10.94",51,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
52,1727743,"11","10.79",52,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
53,294980,"11","11.39",53,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
54,789960,"11","0",54,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
55,279173,"11","10.37",55,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
56,275195,"11","11.13",56,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
57,127749,"11","0",57,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
58,1738043,"11.02","0",58,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
59,836754,"11.01","0",59,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
60,1707072,"11.02","0",60,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
61,398332,"11.02","10.37",61,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
62,1945121,"11.05","0",62,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
63,1618878,"11","0",63,"2020-06-10 20:28:13.183+00","2020-06-10 20:28:13.183+00"
64,278221,"11.04","11.16",64,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
65,1730003,"11.04","11.44",65,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
66,1971048,"11.04","0",66,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
67,275874,"11.04","10.93",67,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
68,2081773,"11.04","0",68,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
69,885771,"11.04","11.15",69,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
70,974698,"11.04","11.2",70,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
71,275476,"11.04","10.84",71,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
72,369804,"11.04","10.63",72,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
73,275020,"11.04","11.09",73,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
74,1947584,"11.04","11.32",74,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
75,2022266,"11.06","11.04",75,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
76,125794,"11.04","11",76,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
77,274765,"11.04","11.33",77,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
78,1963419,"11.04","10.99",78,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
79,366889,"11.04","10.56",79,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
80,275564,"11.04","0",80,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
81,945576,"11.04","10.89",81,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
82,788759,"11.03","0",82,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
83,1587620,"11.03","11.03",83,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
84,1784614,"11.03","11.4",84,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
85,1445648,"11.03","11.77",85,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
86,1476950,"11.03","10.57",86,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
87,104369,"11.03","10.33",87,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
88,1915077,"11.03","11.29",88,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
89,279877,"11.03","10.71",89,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
90,1900859,"11.03","10.85",90,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
91,374809,"11.03","10.91",91,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
92,274751,"11.03","12.15",92,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
93,390534,"11.03","10.7",93,"2020-06-10 20:28:13.891+00","2020-06-10 20:28:13.891+00"
